day,views
2024-12-07,7603
2024-12-08,62770
2024-12-09,105526
2024-12-10,118996
2024-12-11,174454
2024-12-12,168419
2024-12-13,184971
2024-12-14,231423
2024-12-15,240955
2024-12-16,324429
2024-12-17,299437
2024-12-18,318998
2024-12-19,299557
2024-12-20,271211
2024-12-21,261839
2024-12-22,305102
2024-12-23,379727
2024-12-24,357675
2024-12-25,313869
2024-12-26,367357
2024-12-27,422667
2024-12-28,464992
2024-12-29,429074
2024-12-30,354639
2024-12-31,367873
2025-01-01,471869
2025-01-02,441660
2025-01-03,420498
2025-01-04,383221
2025-01-05,366238
2025-01-06,458803
2025-01-07,549607
2025-01-08,581472
2025-01-09,583554
2025-01-10,493534
2025-01-11,531289
2025-01-12,459383
2025-01-13,512583
2025-01-14,504253
2025-01-15,487827
2025-01-16,635840
2025-01-17,672158
2025-01-18,885799
2025-01-19,1015529
2025-01-20,1166286
2025-01-21,1090531
2025-01-22,1085231
2025-01-23,1224097
2025-01-24,1106173
2025-01-25,461120
2025-01-26,645810
2025-01-27,610008
2025-01-28,552851
2025-01-29,583000
2025-01-30,686573
2025-01-31,653026
2025-02-01,730893
2025-02-02,617533
2025-02-03,622100
2025-02-04,659099
2025-02-05,590392
2025-02-06,661020
2025-02-07,719022
2025-02-08,833754
2025-02-09,744881
2025-02-10,710587
2025-02-11,719064
2025-02-12,727028
2025-02-13,648856
2025-02-14,720009
2025-02-15,617308
2025-02-16,561731
2025-02-17,547079
